timestamp,web_acl,regra,acao,source_ip,uri,country,http_method,status_code,user_agent
2026-03-30 02:56:00.833,WEBACL-ALB,Default_Action,ALLOW,5.161.113.195,/,US,HEAD,0,
2026-03-30 02:56:00.731,WEBACL-ALB,Default_Action,ALLOW,178.156.185.231,/,US,HEAD,0,
2026-03-30 02:56:00.717,WEBACL-ALB,Default_Action,ALLOW,178.156.185.231,/,US,HEAD,0,
2026-03-30 02:55:47.793,WEBACL-ALB,Default_Action,ALLOW,172.225.223.8,/,BR,GET,0,
2026-03-30 02:55:47.098,WEBACL-ALB,Default_Action,ALLOW,172.225.223.8,/,BR,GET,0,
2026-03-30 02:55:44.805,WEBACL-ALB,Default_Action,ALLOW,5.161.113.195,/,US,HEAD,0,
2026-03-30 02:55:44.750,WEBACL-ALB,Default_Action,ALLOW,5.161.113.195,/,US,HEAD,0,
2026-03-30 02:55:37.604,WEBACL-ALB,Default_Action,ALLOW,52.28.162.93,/,DE,HEAD,0,
2026-03-30 02:55:37.262,WEBACL-ALB,Default_Action,ALLOW,52.28.162.93,/,DE,HEAD,0,
2026-03-30 02:55:36.778,WEBACL-ALB,Default_Action,ALLOW,52.28.162.93,/,DE,HEAD,0,
2026-03-30 02:55:30.452,WEBACL-ALB,Default_Action,ALLOW,5.161.113.195,/,US,HEAD,0,
2026-03-30 02:55:27.880,WEBACL-ALB,Default_Action,ALLOW,5.161.177.47,/,US,HEAD,0,
2026-03-30 02:55:27.866,WEBACL-ALB,Default_Action,ALLOW,5.161.177.47,/,US,HEAD,0,
2026-03-30 02:55:25.629,WEBACL-ALB,Default_Action,ALLOW,54.167.223.174,/,US,HEAD,0,
2026-03-30 02:55:25.627,WEBACL-ALB,Default_Action,ALLOW,3.212.128.62,/,US,HEAD,0,
2026-03-30 02:55:25.618,WEBACL-ALB,Default_Action,ALLOW,3.212.128.62,/,US,HEAD,0,
2026-03-30 02:55:13.329,WEBACL-ALB,Default_Action,ALLOW,216.244.66.228,/robots.txt,US,GET,0,
2026-03-30 02:55:13.163,WEBACL-ALB,Default_Action,ALLOW,216.244.66.228,/robots.txt,US,GET,0,
2026-03-30 02:55:13.161,WEBACL-ALB,Default_Action,ALLOW,216.244.66.228,/robots.txt,US,GET,0,
2026-03-30 02:55:12.125,WEBACL-ALB,Default_Action,ALLOW,173.252.87.3,/meta.json,US,GET,0,
2026-03-30 02:55:10.436,WEBACL-ALB,Default_Action,ALLOW,3.149.57.90,/,US,HEAD,0,
2026-03-30 02:55:10.385,WEBACL-ALB,Default_Action,ALLOW,3.149.57.90,/,US,HEAD,0,
2026-03-30 02:54:56.771,WEBACL-ALB,Default_Action,ALLOW,3.20.63.178,/,US,HEAD,0,
2026-03-30 02:54:54.806,WEBACL-ALB,Default_Action,ALLOW,5.161.75.7,/,US,HEAD,0,
2026-03-30 02:54:54.794,WEBACL-ALB,Default_Action,ALLOW,5.161.75.7,/,US,HEAD,0,
2026-03-30 02:54:50.324,WEBACL-ALB,Default_Action,ALLOW,5.161.113.195,/,US,HEAD,0,
2026-03-30 02:54:50.306,WEBACL-ALB,Default_Action,ALLOW,5.161.113.195,/,US,HEAD,0,
2026-03-30 02:54:50.288,WEBACL-ALB,Default_Action,ALLOW,178.156.184.20,/,US,HEAD,0,
2026-03-30 02:54:34.903,WEBACL-ALB,Default_Action,ALLOW,3.133.226.214,/,US,HEAD,0,
2026-03-30 02:54:34.801,WEBACL-ALB,Default_Action,ALLOW,3.133.226.214,/,US,HEAD,0,
2026-03-30 02:54:22.656,WEBACL-ALB,Default_Action,ALLOW,54.167.223.174,/,US,HEAD,0,
2026-03-30 02:54:19.727,WEBACL-ALB,Default_Action,ALLOW,178.156.189.249,/,US,HEAD,0,
2026-03-30 02:54:19.712,WEBACL-ALB,Default_Action,ALLOW,178.156.189.249,/,US,HEAD,0,
2026-03-30 02:54:15.128,WEBACL-ALB,Default_Action,ALLOW,52.22.236.30,/,US,HEAD,0,
2026-03-30 02:54:15.041,WEBACL-ALB,Default_Action,ALLOW,3.20.63.178,/,US,HEAD,0,
2026-03-30 02:54:15.006,WEBACL-ALB,Default_Action,ALLOW,3.20.63.178,/,US,HEAD,0,
2026-03-30 02:53:59.917,WEBACL-ALB,Default_Action,ALLOW,168.119.123.75,/,DE,HEAD,0,
2026-03-30 02:53:59.588,WEBACL-ALB,Default_Action,ALLOW,5.161.177.47,/,US,HEAD,0,
2026-03-30 02:53:59.582,WEBACL-ALB,Default_Action,ALLOW,168.119.123.75,/,DE,HEAD,0,
2026-03-30 02:53:59.533,WEBACL-ALB,Default_Action,ALLOW,5.161.177.47,/,US,HEAD,0,
2026-03-30 02:53:56.488,WEBACL-ALB,Default_Action,ALLOW,47.128.127.234,/robots.txt,SG,GET,0,
2026-03-30 02:53:47.413,WEBACL-ALB,Default_Action,ALLOW,178.156.189.113,/,US,HEAD,0,
2026-03-30 02:53:46.572,WEBACL-ALB,Default_Action,ALLOW,18.116.205.62,/,US,HEAD,0,
2026-03-30 02:53:46.531,WEBACL-ALB,Default_Action,ALLOW,18.116.205.62,/,US,HEAD,0,
2026-03-30 02:53:41.548,WEBACL-ALB,Default_Action,ALLOW,18.116.205.62,/,US,HEAD,0,
2026-03-30 02:53:41.505,WEBACL-ALB,Default_Action,ALLOW,18.116.205.62,/,US,HEAD,0,
2026-03-30 02:53:41.208,WEBACL-ALB,Default_Action,ALLOW,34.198.201.66,/,US,HEAD,0,
2026-03-30 02:53:40.094,WEBACL-ALB,Default_Action,ALLOW,114.119.136.141,/index.php,SG,GET,0,
2026-03-30 02:53:35.944,WEBACL-ALB,Default_Action,ALLOW,69.171.231.19,/meta.json,US,GET,0,
2026-03-30 02:53:25.836,WEBACL-ALB,Default_Action,ALLOW,178.156.184.20,/,US,HEAD,0,
2026-03-30 02:53:25.820,WEBACL-ALB,Default_Action,ALLOW,178.156.184.20,/,US,HEAD,0,
2026-03-30 02:53:12.490,WEBACL-ALB,Default_Action,ALLOW,178.156.189.113,/,US,HEAD,0,
2026-03-30 02:53:11.295,WEBACL-ALB,Default_Action,ALLOW,54.167.223.174,/,US,HEAD,0,
2026-03-30 02:53:11.280,WEBACL-ALB,Default_Action,ALLOW,54.167.223.174,/,US,HEAD,0,
2026-03-30 02:53:06.420,WEBACL-ALB,Default_Action,ALLOW,5.161.215.244,/,US,HEAD,0,
2026-03-30 02:53:06.405,WEBACL-ALB,Default_Action,ALLOW,5.161.215.244,/,US,HEAD,0,
2026-03-30 02:53:06.312,WEBACL-ALB,Default_Action,ALLOW,18.116.205.62,/,US,HEAD,0,
2026-03-30 02:52:50.816,WEBACL-ALB,Default_Action,ALLOW,3.212.128.62,/,US,HEAD,0,
2026-03-30 02:52:50.799,WEBACL-ALB,Default_Action,ALLOW,3.212.128.62,/,US,HEAD,0,
2026-03-30 02:52:37.901,WEBACL-ALB,Default_Action,ALLOW,178.156.184.20,/,US,HEAD,0,
2026-03-30 02:52:37.892,WEBACL-ALB,Default_Action,ALLOW,178.156.184.20,/,US,HEAD,0,
2026-03-30 02:52:37.764,WEBACL-ALB,Default_Action,ALLOW,178.156.185.231,/,US,HEAD,0,
2026-03-30 02:52:32.006,WEBACL-ALB,Default_Action,ALLOW,5.161.177.47,/,US,HEAD,0,
2026-03-30 02:52:31.989,WEBACL-ALB,Default_Action,ALLOW,5.161.177.47,/,US,HEAD,0,
2026-03-30 02:52:31.493,WEBACL-ALB,Default_Action,ALLOW,52.22.236.30,/,US,HEAD,0,
2026-03-30 02:52:25.674,WEBACL-ALB,Default_Action,ALLOW,114.119.155.180,/manole%2B/manole-aulas.php,SG,GET,0,
2026-03-30 02:52:16.736,WEBACL-ALB,Default_Action,ALLOW,178.156.184.20,/,US,HEAD,0,
2026-03-30 02:52:16.693,WEBACL-ALB,Default_Action,ALLOW,178.156.184.20,/,US,HEAD,0,
2026-03-30 02:52:04.601,WEBACL-ALB,Default_Action,ALLOW,173.252.79.115,/meta.json,US,GET,0,
2026-03-30 02:52:03.608,WEBACL-ALB,Default_Action,ALLOW,3.212.128.62,/,US,HEAD,0,
2026-03-30 02:52:03.594,WEBACL-ALB,Default_Action,ALLOW,3.212.128.62,/,US,HEAD,0,
2026-03-30 02:52:03.226,WEBACL-ALB,Default_Action,ALLOW,5.161.73.160,/,US,HEAD,0,
2026-03-30 02:52:02.699,WEBACL-ALB,Default_Action,ALLOW,201.71.134.208,/,BR,GET,0,
2026-03-30 02:52:02.367,WEBACL-ALB,Default_Action,ALLOW,201.71.134.208,/.well-known/assetlinks.json,BR,GET,0,
2026-03-30 02:51:58.297,WEBACL-ALB,Default_Action,ALLOW,52.22.236.30,/,US,HEAD,0,
2026-03-30 02:51:58.293,WEBACL-ALB,Default_Action,ALLOW,52.22.236.30,/,US,HEAD,0,
2026-03-30 02:51:57.631,WEBACL-ALB,Default_Action,ALLOW,5.161.73.160,/,US,HEAD,0,
2026-03-30 02:51:42.670,WEBACL-ALB,Default_Action,ALLOW,52.87.72.16,/,US,HEAD,0,
2026-03-30 02:51:42.654,WEBACL-ALB,Default_Action,ALLOW,52.87.72.16,/,US,HEAD,0,
2026-03-30 02:51:41.733,WEBACL-ALB,Default_Action,ALLOW,52.167.144.171,/livros/index.php,US,GET,0,
2026-03-30 02:51:40.887,WEBACL-ALB,Default_Action,ALLOW,52.167.144.171,/colecaosucesso,US,GET,0,
2026-03-30 02:51:28.605,WEBACL-ALB,Default_Action,ALLOW,178.156.187.238,/,US,HEAD,0,
2026-03-30 02:51:28.449,WEBACL-ALB,Default_Action,ALLOW,34.198.201.66,/,US,HEAD,0,
2026-03-30 02:51:28.438,WEBACL-ALB,Default_Action,ALLOW,34.198.201.66,/,US,HEAD,0,
2026-03-30 02:51:24.631,WEBACL-ALB,Default_Action,ALLOW,5.161.117.52,/,US,HEAD,0,
2026-03-30 02:51:24.614,WEBACL-ALB,Default_Action,ALLOW,5.161.117.52,/,US,HEAD,0,
2026-03-30 02:51:23.807,WEBACL-ALB,Default_Action,ALLOW,5.161.215.244,/,US,HEAD,0,
2026-03-30 02:51:10.062,WEBACL-ALB,Default_Action,ALLOW,114.119.144.143,/metodologiaats/sobre-o-curso,SG,GET,0,
2026-03-30 02:51:07.229,WEBACL-ALB,Default_Action,ALLOW,52.87.72.16,/,US,HEAD,0,
2026-03-30 02:51:07.215,WEBACL-ALB,Default_Action,ALLOW,52.87.72.16,/,US,HEAD,0,
