@timestamp,regra,acao,ip_origem,pais,metodo,uri
2026-03-30 02:55:44.805,Default_Action,ALLOW,5.161.113.195,US,HEAD,/
2026-03-30 02:55:44.750,Default_Action,ALLOW,5.161.113.195,US,HEAD,/
2026-03-30 02:55:37.604,Default_Action,ALLOW,52.28.162.93,DE,HEAD,/
2026-03-30 02:55:37.262,Default_Action,ALLOW,52.28.162.93,DE,HEAD,/
2026-03-30 02:55:36.778,Default_Action,ALLOW,52.28.162.93,DE,HEAD,/
2026-03-30 02:55:30.452,Default_Action,ALLOW,5.161.113.195,US,HEAD,/
2026-03-30 02:55:27.880,Default_Action,ALLOW,5.161.177.47,US,HEAD,/
2026-03-30 02:55:27.866,Default_Action,ALLOW,5.161.177.47,US,HEAD,/
2026-03-30 02:55:25.629,Default_Action,ALLOW,54.167.223.174,US,HEAD,/
2026-03-30 02:55:25.627,Default_Action,ALLOW,3.212.128.62,US,HEAD,/
2026-03-30 02:55:25.618,Default_Action,ALLOW,3.212.128.62,US,HEAD,/
2026-03-30 02:55:13.329,Default_Action,ALLOW,216.244.66.228,US,GET,/robots.txt
2026-03-30 02:55:13.163,Default_Action,ALLOW,216.244.66.228,US,GET,/robots.txt
2026-03-30 02:55:13.161,Default_Action,ALLOW,216.244.66.228,US,GET,/robots.txt
2026-03-30 02:55:12.125,Default_Action,ALLOW,173.252.87.3,US,GET,/meta.json
2026-03-30 02:55:10.436,Default_Action,ALLOW,3.149.57.90,US,HEAD,/
2026-03-30 02:55:10.385,Default_Action,ALLOW,3.149.57.90,US,HEAD,/
2026-03-30 02:54:56.771,Default_Action,ALLOW,3.20.63.178,US,HEAD,/
2026-03-30 02:54:54.806,Default_Action,ALLOW,5.161.75.7,US,HEAD,/
2026-03-30 02:54:54.794,Default_Action,ALLOW,5.161.75.7,US,HEAD,/
2026-03-30 02:54:50.324,Default_Action,ALLOW,5.161.113.195,US,HEAD,/
2026-03-30 02:54:50.306,Default_Action,ALLOW,5.161.113.195,US,HEAD,/
2026-03-30 02:54:50.288,Default_Action,ALLOW,178.156.184.20,US,HEAD,/
2026-03-30 02:54:34.903,Default_Action,ALLOW,3.133.226.214,US,HEAD,/
2026-03-30 02:54:34.801,Default_Action,ALLOW,3.133.226.214,US,HEAD,/
2026-03-30 02:54:22.656,Default_Action,ALLOW,54.167.223.174,US,HEAD,/
2026-03-30 02:54:19.727,Default_Action,ALLOW,178.156.189.249,US,HEAD,/
2026-03-30 02:54:19.712,Default_Action,ALLOW,178.156.189.249,US,HEAD,/
2026-03-30 02:54:15.128,Default_Action,ALLOW,52.22.236.30,US,HEAD,/
2026-03-30 02:54:15.041,Default_Action,ALLOW,3.20.63.178,US,HEAD,/
2026-03-30 02:54:15.006,Default_Action,ALLOW,3.20.63.178,US,HEAD,/
2026-03-30 02:53:59.917,Default_Action,ALLOW,168.119.123.75,DE,HEAD,/
2026-03-30 02:53:59.588,Default_Action,ALLOW,5.161.177.47,US,HEAD,/
2026-03-30 02:53:59.582,Default_Action,ALLOW,168.119.123.75,DE,HEAD,/
2026-03-30 02:53:59.533,Default_Action,ALLOW,5.161.177.47,US,HEAD,/
2026-03-30 02:53:56.488,Default_Action,ALLOW,47.128.127.234,SG,GET,/robots.txt
2026-03-30 02:53:47.413,Default_Action,ALLOW,178.156.189.113,US,HEAD,/
2026-03-30 02:53:46.572,Default_Action,ALLOW,18.116.205.62,US,HEAD,/
2026-03-30 02:53:46.531,Default_Action,ALLOW,18.116.205.62,US,HEAD,/
2026-03-30 02:53:41.548,Default_Action,ALLOW,18.116.205.62,US,HEAD,/
2026-03-30 02:53:41.505,Default_Action,ALLOW,18.116.205.62,US,HEAD,/
2026-03-30 02:53:41.208,Default_Action,ALLOW,34.198.201.66,US,HEAD,/
2026-03-30 02:53:40.094,Default_Action,ALLOW,114.119.136.141,SG,GET,/index.php
2026-03-30 02:53:35.944,Default_Action,ALLOW,69.171.231.19,US,GET,/meta.json
2026-03-30 02:53:25.836,Default_Action,ALLOW,178.156.184.20,US,HEAD,/
2026-03-30 02:53:25.820,Default_Action,ALLOW,178.156.184.20,US,HEAD,/
2026-03-30 02:53:12.490,Default_Action,ALLOW,178.156.189.113,US,HEAD,/
2026-03-30 02:53:11.295,Default_Action,ALLOW,54.167.223.174,US,HEAD,/
2026-03-30 02:53:11.280,Default_Action,ALLOW,54.167.223.174,US,HEAD,/
2026-03-30 02:53:06.420,Default_Action,ALLOW,5.161.215.244,US,HEAD,/
2026-03-30 02:53:06.405,Default_Action,ALLOW,5.161.215.244,US,HEAD,/
